Country,Country_code,Happiness.Scale,Happiness.Score,GDP,GINI,VoiceandAccountability,PoliticalStabilityNoViolence,GovermentEffectiveness,RegulatoryQuality,RuleofLaw,ControlofCorruption
Norway,NOR,1,1.9512255379901817,3.2451847905332074,-1.3271460410377256,1.7547906745577446,1.459969602458738,2.0314728550479497,1.8175274405069204,2.099184145947928,2.3585437790634667
Denmark,DNK,1,1.938007768730304,2.237806545697186,-1.2372073701147626,1.5704389433062869,1.151917266414221,1.8404517385402235,1.6208072837491814,1.9413460404191947,2.314655162026857
Iceland,ISL,1,1.9221471178935687,2.9593135238033015,-1.2886008963564557,1.4268403167964345,1.6933902060527006,1.4852366510814359,1.426918915353734,1.6817657500032515,1.955380368842831
Switzerland,CHE,1,1.9133352717203107,3.4910401011360963,-0.710423726137407,1.612119108724995,1.519367666607429,2.1063689811995756,1.8896145986766204,2.0059692415311665,2.108000091855038
Finland,FIN,1,1.8913060764591276,1.6813452015328758,-1.3785395672794187,1.609616181723162,1.36988875224281,1.9839261906067145,1.824237553022001,2.106038879975969,2.337340429031268
Netherlands,NLD,1,1.8102389404217651,1.8135748140166972,-1.2372073701147626,1.6266207110300201,1.2066678507848807,1.8966980480194184,2.057240059222578,1.9072193571004668,1.984867019796358
Canada,CAN,1,1.7564880233151583,1.6461231224460955,-0.4920012396102103,1.5337099013534847,1.4141080953609884,1.8991251308770023,1.8924143963287139,1.8781343698718862,2.0424910417262714
Sweden,SWE,1,1.7282907038014783,2.0874375471707833,-1.1087235545105294,1.6345425832080218,1.2710658613546608,1.8821185560365157,1.802141740430717,2.0143059924392435,2.2595953749489435
Australia,AUS,1,1.7282907038014783,2.106220149367298,-0.260730371522591,1.4332248828013092,1.1848753545319655,1.5723694269552708,1.9371818542948525,1.7577030872867958,1.911821656186691
Israel,ISR,1,1.665727940521614,1.3962409370954105,0.1375694568505319,0.7157845286834239,-0.716009543372925,1.4187285164387793,1.262659561291549,1.0913069380504068,0.932533903168982
Costa Rica,CRI,1,1.547652058969266,-0.10419461919832088,1.3453173235303233,1.1578808959969753,0.7716831059329748,0.2510785741337796,0.41891978150212983,0.5196677618052684,0.5683909705285571
Austria,AUT,1,1.4833270945235342,1.7646547050160035,-0.9416945942250262,1.3902009582930073,1.3348001012283615,1.4962264421576503,1.4323841985158667,1.8895116550461386,1.6397412177720871
United States of America,USA,1,1.471871946601476,2.4069961302395373,0.47162737742153826,1.0843670864529245,0.5513263916021914,1.5916319136291806,1.627731685181812,1.7202938586668601,1.4933346939253953
Ireland,IRL,1,1.457773496930608,2.9212065807216696,-0.7746656339395231,1.338605734021147,1.3152869913759728,1.3216090116903125,1.5836892685788715,1.501569289011399,1.6625495960237424
Germany,DEU,1,1.43486320108649,1.6166207383809628,-0.7875140154999466,1.438582007347326,0.8424724222850526,1.760823833955705,1.7865137900910266,1.683544386770161,1.9583819440413088
Belgium,BEL,1,1.381992964390864,1.5564782964478725,-1.3014492779168791,1.4342288150064477,0.6788482550807021,1.2095434644372045,1.2345524256297082,1.4162540241203545,1.6105203231250498
Luxembourg,LUX,1,1.3573204673808708,4.745908342819404,-0.5176980027310573,1.575630881138337,1.6566994687432437,1.7237595607690641,1.6924263030528486,1.8140804720545503,2.1044225103606884
United Kingdom of Great Britain and Northern Ireland,GBR,1,1.2260272367405975,1.3673894048458943,-0.5947882920935964,1.379260199407199,0.506679946726152,1.4478992378462414,1.7161900282445512,1.7553140101606475,1.960661612249336
Chile,CHL,1,1.1713947988791047,0.08834804980378043,1.1268948370031275,1.0312830671664066,0.6300364751827974,0.8705838166853802,1.3276324495005325,1.081584637881626,1.1475167679450218
Brazil,BRA,1,1.1564152486253032,-0.20158216444682675,1.987736401551489,0.4615182359742531,-0.20843938924802377,-0.2978561563117577,-0.15708620368070556,-0.22615624073136542,-0.44161545025826743
Czechia,CZE,1,1.1335049527811771,0.3518644760930014,-1.5327201460044988,1.0029194635226335,1.3123061816776276,1.0465720213937035,1.2226335661438184,1.1874857559434258,0.670570230974403
Argentina,ARG,1,1.1246931066079275,0.038596354618921976,0.3559919433777286,0.5391877414697995,0.41318612747997063,0.1616149532540697,-0.3381275546376947,-0.18705392720767455,-0.16236607269434059
Mexico,MEX,1,1.1061887338504306,-0.249391398665822,0.715746627069581,-0.09223972431732087,-0.46751877311380263,-0.02861802575889504,0.16112606222313533,-0.510998447682695,-0.8420062649655541
Malta,MLT,1,1.0612492427451292,0.6948288964725686,-1.083026791389683,1.2099102329433409,1.579705769440213,1.0277098303862957,1.2734847536352758,1.214652817747757,0.8444905510520133
Uruguay,URY,2,0.9969242782993887,0.1355314676532307,0.214659746213072,1.2060224989485941,1.3635170385770103,0.4239116536561305,0.6333697515207601,0.651745133819352,1.4038008637210775
Guatemala,GTM,2,0.9969242782993887,-0.4823488747304259,1.3453173235303233,-0.3042221597826871,-0.38841033777039224,-0.6588193195931392,-0.3015334178723699,-1.0087523585928022,-0.6517589336900216
Panama,PAN,2,0.9951620771335216,0.08047395351316462,1.5508914284970965,0.5304563548832933,0.6447497398560503,0.0058278456084304075,0.35687150966088976,0.09958301950624794,-0.449393765965631
France,FRA,2,0.9863502309602635,1.3021209797449496,-0.659030199895713,1.187532906254653,0.4517255756258262,1.3842768021409027,1.1451338728532288,1.511996332050087,1.370198607389555
Thailand,THA,2,0.9704891599515757,-0.3708898138149417,-0.17079170059962745,-1.1032525606166252,-0.5856081812219348,0.39186464771767954,0.10432231322326992,0.1048616070515676,-0.29377120167453913
Spain,ESP,2,0.9519847871940873,0.7605804400015762,-0.20933684528089702,1.0605488539701187,0.5137155268149847,1.057941812143555,0.925829617816865,1.0782892222122529,0.5938028019800732
Colombia,COL,2,0.9114512191754064,-0.3806547000524879,1.5251946653762503,0.10498598213028314,-0.6161432286908233,-0.07161237579827223,0.30931756315491576,-0.3024845304834057,-0.2777308371098302
Trinidad and Tobago,TTO,2,0.7449114441860156,0.12927493046487026,0.31744679869645814,0.5665852267345228,0.5341286614848728,0.2637807326260707,-0.014163783344454903,-0.048844659231821026,-0.2721914037345091
Slovakia,SVK,2,0.6832297814890835,0.2068643900617286,-1.4556298566419588,0.9657325508664347,1.168906375590718,0.8255006700768714,0.8039249872417359,0.6371216290559095,0.32277409957446074
Malaysia,MYS,2,0.6708935329840913,-0.1947531677391005,0.4073854696194217,-0.4284739765509322,0.39741383551933257,0.8569501057434751,0.6601979913863504,0.47870592064933054,0.12250897678433098
Nicaragua,NIC,2,0.6594383850620326,-0.6003762389420428,1.0755013107614344,-0.7610575853025904,0.1766386906972327,-0.6572440571107901,-0.7281509672593142,-0.5899262210236224,-0.7856123305858467
Ecuador,ECU,2,0.6039248466175974,-0.3877615371318481,0.8827755873550847,-0.1919365687061835,0.11775744839363976,-0.33152977603980605,-1.0665251951127532,-0.6469535593837211,-0.5099245879320888
El Salvador,SLV,2,0.5995189235309762,-0.5128729575192168,0.02193402280672227,0.14884049696866186,-0.03911543181949941,-0.3776371366978831,-0.19608889293341736,-0.8028579823084893,-0.4159637568590724
Poland,POL,2,0.5730842253551081,0.010512385410990583,-0.9031494495437562,0.8043193830908764,0.783426952415358,0.6482178622333142,0.8631835043160497,0.5375664745572264,0.8296568515499713
Uzbekistan,UZB,2,0.5713220241892409,-0.6364770990100265,-0.32497227932470757,-1.885247832797594,-0.07227695566808018,-0.5728877363813532,-1.3310455106697168,-1.0571424169339754,-1.075921674128618
Italy,ITA,2,0.5651538999367448,0.9597864377034195,-0.31212389776428406,1.0884741157614686,0.4791453010721065,0.5126832392550342,0.6812157658847284,0.38830253011569216,0.28720653978561733
Russian Federation,RUS,2,0.5642723791818595,-0.15321593282489682,-0.016611121874547306,-1.1496694053032894,-0.4962239041381775,-0.08220969616908931,-0.5267659361296247,-0.7399363761801573,-0.8060081021866868
Belize,BLZ,2,0.5581042549293617,-0.4560999176322591,1.987736401551489,0.5837718594670188,0.27943029344460674,-0.6549193100726509,-0.5904172844372554,-0.9061877331230712,-0.1785812769343716
Japan,JPN,2,0.5263825330839396,1.2995726925674937,-0.736120489258253,1.0407213484031173,1.425299980229066,1.6560685120844387,1.3672671079070962,1.6410196077978958,1.636118419120327
Lithuania,LTU,2,0.5105214620752518,0.15836256256666684,-0.0551562665558178,1.0174129184407874,1.0608326871810887,1.0006135183941378,1.1442529073033005,1.062327139017719,0.656465311470738
Algeria,DZA,2,0.4840867638993837,-0.504165228606665,-1.3142976594773021,-0.9447343273196059,-0.802948252064752,-0.6143661434860511,-1.2652229150093195,-0.81159479718402,-0.5208916175800681
